Dim1,Dim2,Decision
-7.3582134,5.513183,1
-1.379968,-50.931263,2
-3.57002,1.5190086,1
31.60631,-26.428555,2
53.542957,2.5127594,2
-25.50034,37.746223,0
-33.277115,32.366436,0
-7.161154,-11.368182,1
1.8610598,-24.607822,1
-12.879168,6.422662,1
13.1331215,46.830345,0
49.04016,-4.644585,2
5.611634,33.339695,0
7.1949925,-22.240383,1
-40.126198,2.5564542,1
25.841543,-32.607853,2
-40.864777,2.6806698,1
-4.2611566,-49.60245,2
-7.903839,-18.509237,1
-6.9270043,-48.201263,2
-17.869898,5.4032736,1
-28.536266,2.4448085,1
-34.524643,2.0450401,1
33.386387,27.027208,0
-20.613039,-36.961502,2
-29.68201,-27.52526,2
34.130684,25.300604,0
37.14714,-19.949759,2
-2.5760865,22.903664,0
38.13044,-18.76687,2
38.972244,-17.743025,2
15.212996,-12.010065,1
-33.778004,2.0399227,1
5.984475,38.663654,0
36.29614,-20.963861,2
-2.952539,22.90808,0
-29.020666,36.358124,0
14.854781,46.92249,0
19.226591,7.867967,1
5.031659,-53.93525,2
29.227213,34.893234,0
18.836523,8.840031,1
25.191038,-33.28908,2
-35.492596,29.141619,0
32.9918,27.887306,0
-24.219542,-33.013454,2
-12.306317,28.588951,0
56.824192,8.194554,2
-41.018955,-19.69545,2
-36.95266,2.1691413,1
-49.79456,5.0428934,1
-4.5606833,-6.5781527,1
-6.4384995,-21.346107,1
32.34473,-25.577826,2
13.537084,-14.789436,1
5.72191,-53.999714,2
-42.086872,-18.936672,2
-36.18128,-22.505268,2
34.27882,24.951836,0
-17.684265,-39.98534,2
5.579563,32.780785,0
15.582409,-11.339714,1
-10.645116,-45.865463,2
-9.46945,25.54392,0
-16.990843,-40.66453,2
-6.4000697,-9.858403,1
32.419804,29.077488,0
-36.214024,2.115767,1
-21.389454,-36.123978,2
-33.044147,32.653343,0
-8.222903,-16.845737,1
37.070618,15.525425,0
36.90283,-20.236364,2
3.3601997,-52.88759,2
5.645007,34.10509,0
5.8791375,37.905014,0
19.256512,45.64523,0
37.494873,11.445201,0
36.854557,16.619076,0
55.623245,6.235504,2
-34.63857,-23.539448,2
-32.32106,33.517616,0
5.6415734,-53.896725,2
-1.6364875,22.955702,0
-14.158453,31.222948,0
51.215176,-1.3254755,2
2.1350276,24.489756,0
-26.40089,-30.697645,2
-49.704308,5.0144367,1
-8.2242155,5.8719144,1
36.048214,-21.252777,2
-27.798874,2.5683753,1
4.782542,-53.753036,2
-37.45498,25.686434,0
-4.631383,23.11369,0
37.4801,13.058617,0
47.31725,-7.12269,2
35.42937,-21.981527,2
-10.802558,6.4142036,1
10.137452,45.668324,0
34.700798,-22.852404,2
1.2146293,-52.011375,2
-22.310747,37.74158,0
18.89069,8.899384,1
-27.88134,-29.222057,2
2.6152184,-24.463005,1
4.595351,-23.792215,1
-2.0056708,22.92427,0
-15.602588,33.206673,0
-6.766052,-48.293934,2
3.7909074,-53.084473,2
47.53843,-6.8139553,2
-7.3134294,-11.7129755,1
-27.24324,2.6703343,1
-32.928276,32.80172,0
32.66993,28.567455,0
48.1935,-5.884548,2
-12.185482,-44.762573,2
-5.2761574,-49.102337,2
-14.809565,32.146008,0
48.52003,-5.4167757,2
-6.7732534,23.833624,0
23.680956,42.273537,0
-48.015564,4.3100424,1
5.6377,33.92078,0
5.3320627,30.514622,0
14.640243,-12.993927,1
-34.894516,30.081728,0
-1.8267484,22.939148,0
-21.75892,37.61461,0
39.452263,-17.148636,2
17.118172,46.524292,0
-15.0385475,32.462025,0
44.80581,-10.458418,2
4.8924236,28.670568,0
50.60306,-2.2858634,2
-42.21537,-19.401026,2
14.149164,-13.8134575,1
34.351646,24.77708,0
-35.97035,28.34643,0
-49.38297,4.5614066,1
-14.051531,31.066368,0
43.86117,-11.658383,2
38.612343,-18.18714,2
-40.371098,-20.025421,2
22.99716,-35.54305,2
19.652353,4.7298474,1
34.487354,24.427338,0
55.097504,5.281982,2
24.565063,-33.960133,2
36.11137,19.665247,0
-14.379678,6.239315,1
-5.53483,-22.338743,1
-23.067694,3.7279284,1
45.27519,-9.857229,2
-5.814024,-22.064571,1
-34.333176,2.042468,1
26.487696,-31.90941,2
2.2777739,24.602299,0
57.38804,8.994622,2
-27.609083,2.5979102,1
